t,value
1601675475,0
1601675478,0
1601675481,0
1601675484,0
1601675487,0
1601675490,0
1601675493,0
1601675496,0
1601675499,0
1601675502,0
1601675505,0
1601675508,0
1601675511,0
1601675514,0
1601675517,0
1601675520,0
1601675523,0
1601675526,0
1601675529,0
1601675532,0
1601675535,0
1601675538,0
1601675541,0
1601675544,0
1601675547,0
1601675550,0
1601675553,0
1601675556,0
1601675559,0
1601675562,0
1601675565,0
1601675568,0
1601675571,0
1601675574,0
1601675577,0
1601675580,0
1601675583,0
1601675586,0
1601675589,0
1601675592,0
1601675595,0
1601675598,0
1601675601,0
1601675604,0
1601675607,0
1601675610,0
1601675613,0
1601675616,0
1601675619,0
1601675622,0
1601675625,0
1601675628,0
1601675631,0
1601675634,0
1601675637,0
1601675640,0
1601675643,0
1601675646,0
1601675649,0
1601675652,0
1601675655,0
1601675658,0
1601675661,0
1601675664,0
1601675667,0
1601675670,0
1601675673,0
1601675676,0
1601675679,0
1601675682,0
1601675685,0
1601675688,0
1601675691,0
1601675694,0
1601675697,0
1601675700,0
1601675703,0
1601675706,0
1601675709,0
1601675712,0
1601675715,0
1601675718,0
1601675721,0
1601675724,0
1601675727,0
1601675730,0
1601675733,0
1601675736,0
1601675739,0
1601675742,0
1601675745,0
1601675748,0
1601675751,0
1601675754,0
1601675757,0
1601675760,0
1601675763,0
1601675766,0
1601675769,0
1601675772,0
1601675775,0
1601675778,0
1601675781,0
1601675784,0
1601675787,0
1601675790,0
1601675793,0
1601675796,0
1601675799,0
1601675802,0
1601675805,0
1601675808,0
1601675811,0
1601675814,0
1601675817,0
1601675820,0
1601675823,0
1601675826,0
1601675829,0
1601675832,0
1601675835,0
1601675838,0
1601675841,0
1601675844,0
1601675847,0
1601675850,0
1601675853,0
1601675856,0
1601675859,0
1601675862,0
1601675865,0
1601675868,0
1601675871,0
1601675874,0
1601675877,0
1601675880,0
1601675883,0
1601675886,0
1601675889,0
1601675892,0
1601675895,0
1601675898,0
1601675901,0
1601675904,0
1601675907,0
1601675910,0
1601675913,0
1601675916,0
1601675919,0
1601675922,0
1601675925,0
1601675928,0
1601675931,0
1601675934,0
1601675937,0
1601675940,0
1601675943,0
1601675946,0
1601675949,0
1601675952,0
1601675955,0
1601675958,0
1601675961,0
1601675964,0
1601675967,0
1601675970,0
1601675973,0
1601675976,0
1601675979,0
1601675982,0
1601675985,0
1601675988,0
1601675991,0
1601675994,0
1601675997,0
1601676000,0
1601676003,0
1601676006,0
1601676009,0
1601676012,0
1601676015,0
1601676018,0
1601676021,0
1601676024,0
1601676027,0
1601676030,0
1601676033,0
1601676036,0
1601676039,0
1601676042,0
1601676045,0
1601676048,0
1601676051,0
1601676054,0
1601676057,0
1601676060,0
1601676063,0
1601676066,0
1601676069,0
1601676072,0
1601676075,0
1601676078,0
1601676081,0
1601676084,0
1601676087,0
1601676090,0
1601676093,0
1601676096,0
1601676099,0
1601676102,0
1601676105,1
1601676108,1
1601676111,1
1601676114,2
1601676117,2
1601676120,2
1601676123,3
1601676126,4
1601676129,4
1601676132,4
1601676135,4
1601676138,5
1601676141,5
1601676144,5
1601676147,6
1601676150,6
1601676153,6
1601676156,6
1601676159,6
1601676162,6
1601676165,6
1601676168,6
1601676171,6
1601676174,6
1601676177,6
1601676180,6
1601676183,6
1601676186,6
1601676189,6
1601676192,6
1601676195,6
1601676198,6
1601676201,6
1601676204,6
1601676207,6
1601676210,6
1601676213,6
1601676216,6
1601676219,6
1601676222,6
1601676225,6
1601676228,6
1601676231,6
1601676234,6
1601676237,6
1601676240,6
1601676243,6
1601676246,6
1601676249,6
1601676252,6
1601676255,6
1601676258,6
1601676261,6
1601676264,6
1601676267,6
1601676270,6
1601676273,6
1601676276,6
1601676279,6
1601676282,6
1601676285,6
1601676288,6
1601676291,6
1601676294,6
1601676297,6
1601676300,6
1601676303,6
1601676306,6
1601676309,6
1601676312,6
1601676315,6
1601676318,6
1601676321,6
1601676324,6
1601676327,6
1601676330,6
1601676333,6
1601676336,6
1601676339,6
1601676342,6
1601676345,6
1601676348,6
1601676351,6
1601676354,6
1601676357,6
1601676360,6
1601676363,6
1601676366,6
1601676369,6
1601676372,6
1601676375,6
1601676378,6
1601676381,6
1601676384,6
1601676387,6
1601676390,6
1601676393,6
1601676396,6
1601676399,6
1601676402,6
1601676405,6
1601676408,6
1601676411,6
1601676414,6
1601676417,6
1601676420,6
1601676423,6
1601676426,6
1601676429,6
1601676432,6
1601676435,6
1601676438,6
1601676441,6
1601676444,6
1601676447,6
1601676450,6
1601676453,6
1601676456,6
1601676459,6
1601676462,6
1601676465,6
1601676468,6
1601676471,6
1601676474,6
1601676477,6
1601676480,6
1601676483,6
1601676486,6
1601676489,6
1601676492,6
1601676495,6
1601676498,6
1601676501,6
1601676504,6
1601676507,6
1601676510,6
1601676513,6
1601676516,6
1601676519,6
1601676522,6
1601676525,6
1601676528,6
1601676531,6
1601676534,6
1601676537,6
1601676540,6
1601676543,6
1601676546,6
1601676549,6
1601676552,6
1601676555,6
1601676558,6
1601676561,6
1601676564,6
1601676567,6
1601676570,6
1601676573,6
1601676576,6
1601676579,6
1601676582,6
1601676585,6
1601676588,6
